scope,prompting_configuration,model,category,N,CV,ES,EM,SE,SE_binary_rate,RQ,gen_time_ms_median,gen_time_ms_mean
category_x_model_x_config,DKB,qwen2.5:72b,Station Filtering,30,0.9667,0.9667,0.0,0.3803,0.0333,0.9667,15980.2,20976.4
category_x_model_x_config,DKB,qwen2.5:72b,Temporal,30,0.8333,0.7,0.0,0.56,0.0,0.7,11814.4,12375.0
category_x_model_x_config,DKB+Hybrid,gemma2:9b,Aggregate,38,0.9211,0.9211,0.0,0.4868,0.0526,0.9211,7287.9,7600.1
category_x_model_x_config,DKB+Hybrid,gemma2:9b,Comparative,22,0.0909,0.0,0.0,0.0,0.0,0.0,6510.6,6489.1
category_x_model_x_config,DKB+Hybrid,gemma2:9b,Health Risk,30,0.8,0.8,0.0,0.1667,0.1667,0.7,6255.6,6274.0
category_x_model_x_config,DKB+Hybrid,gemma2:9b,Station Filtering,30,0.6,0.6,0.0,0.4124,0.2333,0.5167,7973.4,8095.8
category_x_model_x_config,DKB+Hybrid,gemma2:9b,Temporal,30,0.9667,0.5333,0.0,0.1967,0.0,0.4,8064.6,7969.4
category_x_model_x_config,DKB+Hybrid,llama3.2:3b,Aggregate,38,0.8158,0.7895,0.0,0.327,0.0,0.6053,4224.0,4447.1
category_x_model_x_config,DKB+Hybrid,llama3.2:3b,Comparative,22,0.2273,0.1818,0.0,0.0,0.0,0.0227,6933.7,6587.0
category_x_model_x_config,DKB+Hybrid,llama3.2:3b,Health Risk,30,0.9,0.7667,0.0,0.0,0.0,0.5667,3764.4,3914.8
category_x_model_x_config,DKB+Hybrid,llama3.2:3b,Station Filtering,30,0.6,0.5333,0.0,0.2052,0.1,0.3167,5000.1,5179.3
category_x_model_x_config,DKB+Hybrid,llama3.2:3b,Temporal,30,0.7,0.3,0.0,0.0091,0.0,0.1333,6237.9,6697.6
category_x_model_x_config,DKB+Hybrid,qwen2.5-coder:32b,Aggregate,38,1.0,1.0,0.0,0.7122,0.0,1.0,8365.7,8646.5
category_x_model_x_config,DKB+Hybrid,qwen2.5-coder:32b,Comparative,22,0.9091,0.5909,0.0,0.5545,0.4091,0.5909,13753.2,13951.0
category_x_model_x_config,DKB+Hybrid,qwen2.5-coder:32b,Health Risk,30,1.0,1.0,0.0,0.8,0.8,0.8333,12084.1,11164.7
category_x_model_x_config,DKB+Hybrid,qwen2.5-coder:32b,Station Filtering,30,0.9333,0.7,0.0,0.3514,0.0333,0.6167,10461.7,11170.1
category_x_model_x_config,DKB+Hybrid,qwen2.5-coder:32b,Temporal,30,1.0,0.8667,0.0,0.7733,0.4,0.8667,8810.8,9811.3
category_x_model_x_config,DKB+Hybrid,qwen2.5:72b,Aggregate,38,1.0,1.0,0.0,0.792,0.0,1.0,13832.6,12819.9
category_x_model_x_config,DKB+Hybrid,qwen2.5:72b,Comparative,22,0.4545,0.4545,0.0,0.397,0.2727,0.4545,17150.6,15786.7
category_x_model_x_config,DKB+Hybrid,qwen2.5:72b,Health Risk,30,1.0,1.0,0.0,0.7,0.7,0.8,11658.7,10844.0
category_x_model_x_config,DKB+Hybrid,qwen2.5:72b,Station Filtering,30,0.9333,0.9333,0.0,0.3801,0.0333,0.8667,10732.1,19012.1
category_x_model_x_config,DKB+Hybrid,qwen2.5:72b,Temporal,30,1.0,0.8667,0.0,0.6933,0.0,0.8667,10440.1,10421.0
category_x_model_x_config,FT Text2Cypher,text2cypher-gemma2-9b,Aggregate,38,0.8684,0.8421,0.0,0.0,0.0,0.3684,13210.4,16426.7
category_x_model_x_config,FT Text2Cypher,text2cypher-gemma2-9b,Comparative,22,0.3182,0.1818,0.0,0.0,0.0,0.0,29523.8,26584.2
category_x_model_x_config,FT Text2Cypher,text2cypher-gemma2-9b,Health Risk,30,0.4333,0.4333,0.0,0.0,0.0,0.2167,21005.8,23822.2
category_x_model_x_config,FT Text2Cypher,text2cypher-gemma2-9b,Station Filtering,30,0.9667,0.9667,0.0,0.0,0.0,0.0167,15201.6,15036.6
category_x_model_x_config,FT Text2Cypher,text2cypher-gemma2-9b,Temporal,30,0.3333,0.3,0.0,0.0,0.0,0.0,16997.9,20712.0
per_model_x_config,Baseline,gemma2:9b,ALL,150,0.0333,0.5867,0.0,0.0,0.0,0.18,6231.6,7240.5
per_model_x_config,Baseline,llama3.2:3b,ALL,150,0.0,0.3067,0.0,0.0,0.0,0.1033,4582.8,5287.3
per_model_x_config,Baseline,qwen2.5-coder:32b,ALL,150,0.0,0.7733,0.0,0.0,0.0,0.19,12113.3,13094.8
per_model_x_config,Baseline,qwen2.5:72b,ALL,150,0.0067,0.94,0.0,0.0,0.0,0.15,6949.9,12351.6
per_model_x_config,Schema Baseline,gemma2:9b,ALL,150,0.2933,0.2,0.0,0.0,0.0,0.07,7145.8,8012.8
per_model_x_config,Schema Baseline,llama3.2:3b,ALL,150,0.5133,0.46,0.0,0.0,0.0,0.1233,4792.4,4999.5
per_model_x_config,Schema Baseline,qwen2.5-coder:32b,ALL,150,0.6933,0.6133,0.0,0.0042,0.0,0.2333,12571.7,12153.6
per_model_x_config,Schema Baseline,qwen2.5:72b,ALL,150,0.76,0.76,0.0,0.0,0.0,0.1667,9420.2,11554.4
per_model_x_config,Schema+Values,gemma2:9b,ALL,150,0.5067,0.3867,0.0,0.0716,0.02,0.2233,9283.2,9866.4
per_model_x_config,Schema+Values,llama3.2:3b,ALL,150,0.62,0.3933,0.0,0.0171,0.0067,0.15,6245.3,6288.1
per_model_x_config,Schema+Values,qwen2.5-coder:32b,ALL,150,0.7667,0.5533,0.0,0.0939,0.0533,0.2867,16992.3,17970.2
per_model_x_config,Schema+Values,qwen2.5:72b,ALL,150,0.98,0.6467,0.0,0.0987,0.06,0.1967,14998.8,16646.8
per_model_x_config,DKB-NoExamples,gemma2:9b,ALL,150,0.5533,0.5533,0.0,0.0611,0.0067,0.2833,9098.8,9395.7
per_model_x_config,DKB-NoExamples,llama3.2:3b,ALL,150,0.7267,0.4733,0.0,0.0266,0.0067,0.1533,6964.9,7474.3
per_model_x_config,DKB-NoExamples,qwen2.5-coder:32b,ALL,150,0.94,0.9133,0.0,0.4953,0.16,0.46,17052.0,17508.7
per_model_x_config,DKB-NoExamples,qwen2.5:72b,ALL,150,0.98,0.8467,0.0,0.2765,0.1267,0.33,16194.6,17717.9
per_model_x_config,DKB,gemma2:9b,ALL,150,0.5467,0.4533,0.0,0.2437,0.0267,0.4033,7440.2,7766.4
per_model_x_config,DKB,llama3.2:3b,ALL,150,0.7,0.6267,0.0,0.0147,0.0067,0.1533,4604.7,4843.7
per_model_x_config,DKB,qwen2.5-coder:32b,ALL,150,0.82,0.6667,0.0,0.4621,0.1733,0.5467,12738.7,12720.7
per_model_x_config,DKB,qwen2.5:72b,ALL,150,0.96,0.9333,0.0,0.5925,0.1,0.8333,15328.9,15979.6
per_model_x_config,DKB+Hybrid,gemma2:9b,ALL,150,0.72,0.62,0.0,0.2785,0.0933,0.5567,6868.6,7344.9
per_model_x_config,DKB+Hybrid,llama3.2:3b,ALL,150,0.68,0.5467,0.0,0.1257,0.02,0.36,5223.4,5251.0
